id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel
1,41,F,5993,C̩libataire,Commercial,Cadre Commercial,8,80,8,6,4
2,49,M,5130,Mari̩(e),Consulting,Assistant de Direction,1,80,10,10,7
4,37,M,2090,C̩libataire,Consulting,Consultant,6,80,7,0,0
5,33,F,2909,Mari̩(e),Consulting,Assistant de Direction,1,80,8,8,7
7,27,M,3468,Mari̩(e),Consulting,Consultant,9,80,6,2,2
8,32,M,3068,C̩libataire,Consulting,Consultant,0,80,8,7,7
10,59,F,2670,Mari̩(e),Consulting,Consultant,4,80,12,1,0
11,30,M,2693,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
12,38,M,9526,C̩libataire,Consulting,Tech Lead,0,80,10,9,7
13,36,M,5237,Mari̩(e),Consulting,Manager,6,80,17,7,7
14,35,M,2426,Mari̩(e),Consulting,Consultant,0,80,6,5,4
15,29,F,4193,C̩libataire,Consulting,Consultant,0,80,10,9,5
16,31,M,2911,Divorc̩(e),Consulting,Assistant de Direction,1,80,5,5,2
18,34,M,2661,Divorc̩(e),Consulting,Consultant,0,80,3,2,2
19,28,M,2028,C̩libataire,Consulting,Consultant,5,80,6,4,2
20,29,F,9980,Divorc̩(e),Consulting,Tech Lead,1,80,10,10,9
21,32,M,3298,Divorc̩(e),Consulting,Assistant de Direction,0,80,7,6,2
22,22,M,2935,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
23,53,F,15427,Mari̩(e),Commercial,Senior Manager,2,80,31,25,8
24,38,M,3944,C̩libataire,Consulting,Assistant de Direction,5,80,6,3,2
26,24,F,4011,Divorc̩(e),Consulting,Tech Lead,0,80,5,4,2
27,36,M,3407,C̩libataire,Commercial,Repr̩sentant Commercial,7,80,10,5,3
28,34,F,11994,C̩libataire,Consulting,Directeur Technique,0,80,13,12,6
30,21,M,1232,C̩libataire,Consulting,Assistant de Direction,1,80,0,0,0
31,34,M,2960,C̩libataire,Consulting,Assistant de Direction,2,80,8,4,2
32,53,F,19094,Divorc̩(e),Consulting,Senior Manager,4,80,26,14,13
33,32,F,3919,C̩libataire,Consulting,Assistant de Direction,1,80,10,10,2
35,42,M,6825,Mari̩(e),Commercial,Cadre Commercial,0,80,10,9,7
36,44,F,10248,Mari̩(e),Consulting,Manager,3,80,24,22,6
38,46,F,18947,C̩libataire,Commercial,Senior Manager,3,80,22,2,2
39,33,M,2496,C̩libataire,Consulting,Consultant,4,80,7,1,1
40,44,M,6465,Mari̩(e),Consulting,Manager,2,80,9,4,2
41,30,M,2206,C̩libataire,Consulting,Consultant,1,80,10,10,0
42,39,M,2086,Mari̩(e),Commercial,Repr̩sentant Commercial,3,80,19,1,0
45,24,M,2293,Mari̩(e),Consulting,Assistant de Direction,2,80,6,2,0
46,43,F,2645,Divorc̩(e),Consulting,Assistant de Direction,1,80,6,5,3
47,50,M,2683,Mari̩(e),Commercial,Repr̩sentant Commercial,1,80,3,3,2
49,35,F,2014,Mari̩(e),Commercial,Repr̩sentant Commercial,1,80,2,2,2
51,36,F,3419,Mari̩(e),Consulting,Assistant de Direction,9,80,6,1,1
52,33,F,5376,Mari̩(e),Commercial,Cadre Commercial,2,80,10,5,3
53,35,M,1951,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
54,27,F,2341,Divorc̩(e),Consulting,Consultant,1,80,1,1,0
55,26,M,2293,C̩libataire,Consulting,Consultant,1,80,1,1,0
56,27,M,8726,C̩libataire,Commercial,Cadre Commercial,1,80,9,9,8
57,30,F,4011,C̩libataire,Consulting,Consultant,1,80,12,12,8
58,41,F,19545,Mari̩(e),Consulting,Directeur Technique,1,80,23,22,15
60,34,M,4568,C̩libataire,Commercial,Cadre Commercial,0,80,10,9,5
61,37,M,3022,Mari̩(e),Consulting,Assistant de Direction,4,80,8,1,0
62,46,M,5772,C̩libataire,Commercial,Cadre Commercial,4,80,14,9,6
63,35,M,2269,Mari̩(e),Consulting,Consultant,1,80,1,1,0
