iter	Logloss
0	0.6292244742
1	0.580749524
2	0.5406057384
3	0.5108697889
4	0.4856870299
5	0.4649321849
6	0.4467303922
7	0.4345747792
8	0.4247582569
9	0.416085408
10	0.4064682772
11	0.3996561525
12	0.3932232931
13	0.3887686805
14	0.3841349953
15	0.3799804349
16	0.3749989941
17	0.372719237
18	0.3693897047
19	0.3660210427
20	0.3640012152
21	0.3619025203
22	0.3588581075
23	0.3559312492
24	0.3535763823
25	0.3521614972
26	0.3494044507
27	0.3467992692
28	0.3454547898
29	0.3442385992
30	0.3419773524
31	0.3393146192
32	0.3367799391
33	0.3356281954
34	0.3341751528
35	0.3335182235
36	0.3325021347
37	0.3320049626
38	0.3300126705
39	0.3291054574
40	0.3279742869
41	0.3274750623
42	0.3265170355
43	0.3252234595
44	0.323638349
45	0.3230570764
46	0.3217837932
47	0.3203036852
48	0.319211541
49	0.3178777364
50	0.3172309992
51	0.3161358634
52	0.3148303312
53	0.3134694732
54	0.312145303
55	0.3109692301
56	0.3092709921
57	0.3088392004
58	0.3081850501
59	0.3071861197
60	0.3056657941
61	0.304819682
62	0.3033436651
63	0.3018649246
64	0.3010692953
65	0.3001535383
66	0.2991650987
67	0.2975728411
68	0.2960246408
69	0.2947461598
70	0.293683518
71	0.2925702963
72	0.2918831865
73	0.2913246273
74	0.2897617939
75	0.2887136674
76	0.2876066443
77	0.2862800037
78	0.2845878482
79	0.283529295
80	0.2814082145
81	0.2798477272
82	0.2787889248
83	0.2783900536
84	0.277581203
85	0.2764354429
86	0.2750832972
87	0.2742914866
88	0.2724858774
89	0.2716942265
90	0.2704567376
91	0.2691465828
92	0.2672563305
93	0.26595857
94	0.2643487455
95	0.2632361906
96	0.2608826579
97	0.2599699662
98	0.2592140935
99	0.2586839211
100	0.2568144621
101	0.2556236297
102	0.254260392
103	0.2534178999
104	0.2524931693
105	0.2516138981
106	0.2501227793
107	0.2496338701
108	0.2482891914
109	0.2470953555
110	0.2457483407
111	0.2450899169
112	0.2437600831
113	0.2431842848
114	0.242258956
115	0.2414412897
116	0.2407709456
117	0.2392701803
118	0.2374971962
119	0.2364040391
120	0.2354895912
121	0.2340905053
122	0.2326527857
123	0.2323487421
124	0.2311375384
125	0.2300041254
126	0.2289280202
127	0.2274378823
128	0.2262392159
129	0.2252054633
130	0.2246621147
131	0.223144278
132	0.2225912173
133	0.2217385109
134	0.2200513629
135	0.2194207267
136	0.2180518391
137	0.2170803526
138	0.2161263983
139	0.2151632007
140	0.2142433345
141	0.2131741003
142	0.2119650429
143	0.2111192972
144	0.2099004952
145	0.2091078731
146	0.2081214357
147	0.2077650727
148	0.2067393858
149	0.2060700081
150	0.2051313511
151	0.2038088972
152	0.2032771825
153	0.2022621653
154	0.2016268657
155	0.2007078389
156	0.200171125
157	0.1992693777
158	0.1989049308
159	0.1982978018
160	0.1973500393
161	0.1963632564
162	0.1952357938
163	0.1943587495
164	0.1935264053
165	0.1926344063
166	0.1918308737
167	0.1913721073
168	0.1905002935
169	0.1895819571
170	0.188815637
171	0.1879841364
172	0.1865968367
173	0.1859137457
174	0.1852807177
175	0.1844488964
176	0.1840745945
177	0.1835751797
178	0.1826439196
179	0.1821649207
180	0.1816662303
181	0.1811637836
182	0.1803958571
183	0.1800237535
184	0.17869809
185	0.1774630441
186	0.1767892604
187	0.1758050557
188	0.1752379456
189	0.1749036143
190	0.1740123122
191	0.1737716059
192	0.1730133667
193	0.1724496167
194	0.1713853663
195	0.170371617
196	0.1694024054
197	0.168987255
198	0.1684698243
199	0.167298514
