iter	Passed	Remaining
0	0	450
1	0	382
2	1	379
3	1	384
4	1	390
5	2	396
6	2	417
7	3	420
8	3	430
9	4	425
10	4	425
11	5	434
12	5	432
13	6	428
14	6	434
15	6	429
16	7	428
17	7	422
18	8	421
19	8	418
20	8	414
21	9	413
22	9	413
23	10	411
24	10	410
25	10	409
26	11	409
27	11	408
28	12	406
29	12	401
30	12	400
31	13	399
32	13	402
33	14	403
34	14	403
35	15	403
36	15	403
37	15	402
38	16	402
39	16	401
40	17	400
41	17	402
42	18	401
43	18	397
44	18	396
45	19	395
46	19	397
47	20	396
48	20	396
49	20	396
50	21	395
51	21	392
52	21	392
53	22	389
54	22	388
55	22	387
56	23	388
57	23	387
58	24	387
59	24	386
60	25	386
61	25	386
62	25	386
63	26	385
64	26	385
65	27	395
66	28	395
67	28	394
68	29	394
69	29	393
70	30	393
71	30	393
72	30	392
73	31	391
74	31	391
75	32	390
76	32	389
77	32	389
78	33	389
79	33	389
80	34	389
81	34	388
82	35	389
83	35	388
84	36	388
85	36	387
86	36	385
87	37	384
88	37	383
89	37	383
90	38	382
91	38	382
92	39	382
93	39	381
94	40	381
95	40	380
96	40	380
97	41	379
98	41	379
99	42	378
100	42	379
101	43	378
102	43	378
103	43	378
104	44	377
105	44	377
106	45	376
107	45	375
108	45	375
109	46	375
110	46	375
111	47	374
112	47	374
113	48	373
114	48	373
115	48	373
116	49	372
117	49	371
118	50	371
119	50	370
120	50	369
121	51	368
122	51	368
123	52	368
124	52	368
125	53	368
126	53	367
127	53	367
128	54	365
129	54	365
130	55	365
131	55	365
132	56	365
133	56	365
134	56	364
135	57	365
136	58	369
137	59	369
138	59	369
139	60	368
140	60	368
141	60	367
142	61	366
143	61	366
144	62	365
145	62	365
146	62	364
147	63	364
148	63	364
149	64	363
150	64	362
151	64	362
152	65	362
153	65	361
154	66	360
155	66	360
156	66	359
157	67	359
158	67	358
159	68	358
160	68	357
161	69	358
162	69	358
163	70	360
164	71	360
165	71	360
166	72	360
167	72	360
168	73	359
169	73	359
170	73	358
171	74	358
172	74	358
173	75	357
174	75	356
175	75	355
176	76	355
177	76	355
178	77	354
179	77	354
180	78	354
181	78	354
182	79	353
183	79	353
184	80	352
185	80	352
186	81	352
187	81	351
188	81	350
189	82	350
190	82	350
191	83	350
192	83	350
193	84	349
194	84	349
195	84	348
196	85	348
197	85	347
198	86	347
199	86	346
200	87	346
201	87	345
202	87	345
203	88	344
204	88	344
205	89	343
206	89	343
