id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augmentation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,score_revenu,score_environnement_travail,score_mobilite_externe,score_mobilite_interne,score_equilibre_pro_perso
1,41,F,5993,Celibataire,Commercial,Cadre Commercial,8,8,6,4,2,3,2,4,1,1,Oui,11,Oui,0,0,1,2,Infra & Cloud,Occasionnel,0,5,41.66,42.94,75.0,66.67,37.5
2,49,M,5130,Marie(e),Consulting,Assistant de Direction,1,10,10,7,3,2,2,2,4,3,Non,23,Non,1,3,8,1,Infra & Cloud,Frequent,1,7,66.25,64.12,100.0,70.0,60.42
4,37,M,2090,Celibataire,Consulting,Consultant,6,7,0,0,4,2,1,3,2,3,Oui,15,Oui,0,3,2,2,Autre,Occasionnel,0,0,44.31,60.0,0.0,0.0,53.27
5,33,F,2909,Marie(e),Consulting,Assistant de Direction,1,8,8,7,4,3,1,3,3,3,Oui,11,Non,0,3,3,4,Infra & Cloud,Frequent,3,0,29.7,70.0,100.0,87.5,39.88
7,27,M,3468,Marie(e),Consulting,Consultant,9,6,2,2,1,3,1,2,4,3,Non,12,Non,1,3,2,1,Transformation Digitale,Occasionnel,2,2,35.23,41.18,33.33,100.0,78.27
8,32,M,3068,Celibataire,Consulting,Consultant,0,8,7,7,4,3,1,4,3,2,Non,13,Non,0,2,2,2,Infra & Cloud,Frequent,3,6,34.69,83.53,87.5,100.0,57.44
10,59,F,2670,Marie(e),Consulting,Consultant,4,12,1,0,3,4,1,1,1,2,Oui,20,Non,3,3,3,3,Transformation Digitale,Occasionnel,0,0,57.1,20.0,8.33,0.0,44.05
11,30,M,2693,Divorce(e),Consulting,Consultant,1,1,1,0,4,3,1,3,2,3,Non,22,Non,1,2,24,1,Infra & Cloud,Occasionnel,0,0,61.85,60.0,100.0,0.0,58.63
12,38,M,9526,Celibataire,Consulting,Tech Lead,0,10,9,7,4,2,3,3,2,3,Non,21,Non,0,2,23,3,Infra & Cloud,Frequent,1,8,69.17,64.71,90.0,77.78,47.02
13,36,M,5237,Marie(e),Consulting,Manager,6,17,7,7,3,3,2,3,2,2,Non,13,Non,2,3,27,3,Transformation Digitale,Occasionnel,7,7,29.66,54.12,41.18,100.0,47.62
14,35,M,2426,Marie(e),Consulting,Consultant,0,6,5,4,1,4,1,2,3,3,Non,13,Non,1,5,16,3,Transformation Digitale,Occasionnel,0,3,40.18,31.76,83.33,80.0,65.77
15,29,F,4193,Celibataire,Consulting,Consultant,0,10,9,5,4,2,2,3,4,3,Oui,12,Non,0,3,15,2,Infra & Cloud,Occasionnel,0,8,40.89,84.71,90.0,55.56,41.67
16,31,M,2911,Divorce(e),Consulting,Assistant de Direction,1,5,5,2,1,3,1,3,4,2,Non,17,Non,1,1,26,1,Infra & Cloud,Occasionnel,4,3,41.65,51.76,100.0,40.0,48.51
