a_quitte_l_entreprise,age,annees_dans_l_entreprise,annees_dans_le_poste_actuel,annees_depuis_la_derniere_promotion,annees_experience_totale,annes_sous_responsable_actuel,augmentation_salaire_precedente,departement_Commercial,departement_Consulting,departement_Ressources Humaines,distance_domicile_travail,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement,genre,heure_supplementaires,id_employee,nb_formations_suivies,niveau_education,niveau_hierarchique_poste,nombre_experiences_precedentes,nombre_participation_pee,note_evaluation_precedente,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Representant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,revenu_mensuel,satisfaction_employee_environnement,satisfaction_employee_equilibre_pro_perso,satisfaction_employee_equipe,satisfaction_employee_nature_travail,satisfaction_globale,score_environnement_travail,score_equilibre_pro_perso,score_mobilite_externe,score_mobilite_interne,score_revenu,statut_marital_Celibataire,statut_marital_Divorce(e),statut_marital_Marie(e)
1,41,6,4,0,8,5,11,1,0,0,1,0,0,1,0,0,0,0.5,0,1,1,0,2,2,8,0,3,0,1,0,0,0,0,0,0,0,5993,2,1,1,4,0.5,42.94,37.5,75.0,66.67,41.66,1,0,0
0,49,10,7,1,10,7,23,0,1,0,8,0,0,1,0,0,0,1.0,1,0,2,3,1,2,1,1,2,1,0,0,0,0,0,0,0,0,5130,3,3,4,2,0.75,64.12,60.42,100.0,70.0,66.25,0,0,1
1,37,0,0,0,7,0,15,0,1,0,2,1,0,0,0,0,0,0.5,1,1,4,3,2,1,6,0,2,0,0,1,0,0,0,0,0,0,2090,4,3,2,3,0.75,60.0,53.27,0.0,0.0,44.31,1,0,0
0,33,8,7,3,8,0,11,0,1,0,3,0,0,1,0,0,0,1.0,0,1,5,3,4,1,1,0,3,1,0,0,0,0,0,0,0,0,2909,4,3,3,3,0.81,70.0,39.88,100.0,87.5,29.7,0,0,1
0,27,2,2,2,6,2,12,0,1,0,2,0,0,0,0,0,1,0.5,1,0,7,3,1,1,9,1,3,0,0,1,0,0,0,0,0,0,3468,1,3,4,2,0.62,41.18,78.27,33.33,100.0,35.23,0,0,1
0,32,7,7,3,8,6,13,0,1,0,2,0,0,1,0,0,0,1.0,1,0,8,2,2,1,0,0,3,0,0,1,0,0,0,0,0,0,3068,4,2,3,4,0.81,83.53,57.44,87.5,100.0,34.69,1,0,0
0,59,1,0,0,12,0,20,0,1,0,3,0,0,0,0,0,1,0.5,0,1,10,3,3,1,4,3,4,0,0,1,0,0,0,0,0,0,2670,3,2,1,1,0.44,20.0,44.05,8.33,0.0,57.1,0,0,1
0,30,1,0,0,1,0,22,0,1,0,24,0,0,1,0,0,0,0.5,1,0,11,2,1,1,1,1,3,0,0,1,0,0,0,0,0,0,2693,4,3,2,3,0.75,60.0,58.63,100.0,0.0,61.85,0,1,0
0,38,9,7,1,10,8,21,0,1,0,23,0,0,1,0,0,0,1.0,1,0,12,2,3,3,0,0,2,0,0,0,0,0,0,0,0,1,9526,4,3,2,3,0.75,64.71,47.02,90.0,77.78,69.17,1,0,0
0,36,7,7,7,17,7,13,0,1,0,27,0,0,0,0,0,1,0.5,1,0,13,3,3,2,6,2,3,0,0,0,0,1,0,0,0,0,5237,3,2,2,3,0.62,54.12,47.62,41.18,100.0,29.66,0,0,1
