model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
DummyClassifier,0.0008466243743896484,0.0002845216506431326,0.002129157384236654,0.0006235548648583142,most_frequent,{'strategy': 'most_frequent'},0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,2,0.45593337959750174,0.45593337959750174,0.4563106796116505,0.4560591462688846,0.0001778609323642469,,,,,,,,,,
DummyClassifier,0.0008197625478108724,0.0003948117766694393,0.001809994379679362,0.0004410234771325516,stratified,{'strategy': 'stratified'},0.4635386119257087,0.4731182795698925,0.5193687405159332,0.4853418773371782,0.024376396662653572,1,0.5144817073170731,0.5098132621951219,0.4973094116660075,0.5072014603927342,0.007249738660720512,,,,,,,,,,
RandomForestClassifier,0.04301905632019043,0.011102928120498637,0.004911979039510091,0.0025452174111089167,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.45555555555555555,0.5821850019033118,0.6351439158456702,0.5576281577681792,0.07534486814345047,10,0.6166619652092149,0.63424559458648,0.6059113300492611,0.6189396299483186,0.011678996937925,5,sqrt,2.0,50.0,,,,,,
RandomForestClassifier,0.11324222882588704,0.015822087224824335,0.006178061167399089,0.002349751804397655,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.47058327002616696,0.5586195997866582,0.6351439158456702,0.5547822618861651,0.06723637611568567,12,0.627002933093143,0.63996399639964,0.5997148527060092,0.6222272607329308,0.01677505443382536,5,sqrt,2.0,100.0,,,,,,
RandomForestClassifier,0.04036132494608561,0.017449574786336866,0.0031696955362955728,3.38880698079645e-05,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.4871275428378492,0.5846097528081229,0.5963068181818182,0.5560147046092635,0.04894409141922288,11,0.6079395420789188,0.5958208588144596,0.5870786516853932,0.5969463508595906,0.008553527001980395,5,sqrt,10.0,50.0,,,,,,
RandomForestClassifier,0.0817548433939616,0.021725022919803036,0.005577802658081055,0.001630384982653806,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.4871275428378492,0.5846097528081229,0.6351439158456702,0.5689604038305475,0.06143228392392205,9,0.6197602715998061,0.6019181946403385,0.5997148527060092,0.6071311063153846,0.008975356659796164,5,sqrt,10.0,100.0,,,,,,
RandomForestClassifier,0.05818708737691244,0.011889612979257776,0.006577014923095703,0.0014620549792107472,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.5586547541221762,0.6128916419786337,0.657382212767361,0.6096428696227236,0.040370729198265745,2,0.8979837825991672,0.921875,0.9270833333333333,0.9156473719775002,0.012669740232079075,10,sqrt,2.0,50.0,,,,,,
RandomForestClassifier,0.11023934682210286,0.009457910203522527,0.012282689412434896,0.0022577667038852227,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.57289169753759,0.6102272727272727,0.6604251349370294,0.6145147017339639,0.03586374400752528,1,0.910115996762881,0.9247588318027633,0.9212883016746316,0.9187210434134253,0.006247466992635234,10,sqrt,2.0,100.0,,,,,,
RandomForestClassifier,0.05774704615275065,0.009217848591652575,0.004580895105997722,0.0007695131501464302,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.5392944531144634,0.5988149744142203,0.6473645632038383,0.5951579969108406,0.04419515272838239,5,0.7238693102948184,0.7677873839257124,0.7294959185390895,0.7403842042532066,0.01951265183082242,10,sqrt,10.0,50.0,,,,,,
RandomForestClassifier,0.1082445780436198,0.006368575987477247,0.008992989857991537,0.0025754937541799428,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.5259051186017478,0.6013655843684172,0.64,0.5890902343233884,0.047380893859348704,8,0.7349560513860717,0.761511367275056,0.7151735073749717,0.7372136420120331,0.018984587636743343,10,sqrt,10.0,100.0,,,,,,
